search_type,epochs,lr,reg,max_features,min_freq,val_accuracy
random,1000,0.05,0.0,960,3,0.8846153846153846
random,1000,0.05,0.0,558,5,0.8846153846153846
random,1000,0.05,0.0,566,3,0.8846153846153846
random,1000,0.05,0.0,559,2,0.8846153846153846
random,1000,0.05,0.0,847,1,0.8846153846153846
random,1000,0.05,0.0,761,5,0.8846153846153846
random,1000,0.05,0.0,869,4,0.8816568047337278
random,1000,0.05,0.0,291,4,0.8816568047337278
random,1000,0.05,0.0,513,2,0.8816568047337278
random,1000,0.05,0.0,376,1,0.8816568047337278
random,1000,0.05,0.0,120,2,0.878698224852071
random,1000,0.05,0.0,199,3,0.8757396449704142
random,1000,0.05,0.0,121,5,0.8757396449704142
random,1000,0.05,0.0,202,4,0.8727810650887574
random,1000,0.05,0.0,171,5,0.8727810650887574
