epochs,lr,reg,val_accuracy
1000,0.05,0.0001,0.8846153846153846
2000,0.03,0.001,0.878698224852071
4000,0.05,0.0,0.8698224852071006
2000,0.05,0.0,0.8698224852071006
6000,0.03,0.0,0.8698224852071006
4000,0.05,0.0005,0.8698224852071006
1000,0.03,0.0005,0.863905325443787
2000,0.01,0.001,0.8609467455621301
6000,0.003,0.0005,0.8520710059171598
6000,0.003,0.0,0.8520710059171598
1000,0.01,0.0,0.834319526627219
2000,0.003,0.0,0.8076923076923077
2000,0.003,0.0005,0.8047337278106509
4000,0.001,0.0005,0.7869822485207101
1000,0.001,0.0,0.7189349112426036
